UPRN,YearMonth,CO2_EMISS_CURR_PER_FLOOR_AREA,ENERGY_CONSUMPTION_CURRENT,Estimated Energy_DOM_rf (kwh/m2)
200000489181.0,2017-02,49,288,239.4160083805084
200003414346.0,2017-02,90,530,216.06327324342325
6033658.0,2017-03,45,253,417.36379334831827
6045296.0,2017-03,39,223,281.5138379231879
12091979.0,2017-03,46,262,181.6218961149961
12096978.0,2017-03,27,157,235.31513165723166
46043744.0,2017-03,39,214,491.0370654900653
121011301.0,2017-03,44,250,269.02493470973474
200089430.0,2017-03,46,262,121.77856988011995
200109300.0,2017-03,38,214,315.4782924908425
202026038.0,2017-03,31,179,229.15663521478518
202105218.0,2017-03,43,242,306.6013693750694
202150773.0,2017-03,40,225,360.6800493950493
202218404.0,2017-03,67,380,228.5886088078588
202220242.0,2017-03,69,410,228.30970078255078
207022573.0,2017-03,82,474,372.11490986235987
207150010.0,2017-03,29,164,320.01044492174486
217010499.0,2017-03,67,382,332.82924790764787
217063425.0,2017-03,57,324,212.42266407481404
5300035779.0,2017-03,31,174,172.35967547452543
5300039966.0,2017-03,26,151,195.91441497946494
5300088493.0,2017-03,34,194,211.919676001776
5870078967.0,2017-03,45,292,229.9776564935065
5870090019.0,2017-03,48,270,179.03763570318574
5870121453.0,2017-03,98,557,218.80444936729938
10008786737.0,2017-03,36,213,315.72796042291037
10023996551.0,2017-03,18,100,284.6728186480186
10034924257.0,2017-03,55,311,105.52313297258308
100020255563.0,2017-03,137,810,451.0457515984015
100020380419.0,2017-03,47,266,224.290356998557
100020462078.0,2017-03,41,231,397.29428411033416
100020464263.0,2017-03,61,293,426.6655163947165
100020467933.0,2017-03,37,210,539.8291786657787
100020489692.0,2017-03,51,288,172.4492560883561
100020589983.0,2017-03,32,183,191.95269724164723
100020614032.0,2017-03,24,136,182.9890457486957
100020636030.0,2017-03,47,269,229.9487692973693
100020677395.0,2017-03,36,202,177.2517185092685
100020987799.0,2017-03,32,181,162.8034560606061
100021282556.0,2017-03,144,847,304.4802453823953
100021381763.0,2017-03,58,330,221.67219991119993
100021470980.0,2017-03,42,238,279.3815536075036
100021521772.0,2017-03,105,618,198.52660224220224
100021588571.0,2017-03,37,211,318.08346134421134
100021749725.0,2017-03,61,345,223.91329878454874
100021775352.0,2017-03,37,212,275.81893137418143
100021909171.0,2017-03,53,302,200.66139151404147
100022001418.0,2017-03,33,190,186.60467847152847
100022276667.0,2017-03,45,255,328.49221948051945
100022285552.0,2017-03,36,207,135.92986678321677
100022306927.0,2017-03,48,274,342.361624009324
100022524523.0,2017-03,48,270,220.89602963702959
100022779069.0,2017-03,33,186,238.96691774336773
100022786332.0,2017-03,37,210,202.80578340548345
100022818514.0,2017-03,68,399,127.53683398268394
100023282397.0,2017-03,35,197,338.18769208014214
100023513650.0,2017-03,48,270,222.07347525807523
200000474527.0,2017-03,76,431,280.1842293151293
200000484187.0,2017-03,49,275,289.4366643578644
5039531.0,2017-04,72,423,312.49539330669324
5114998.0,2017-04,49,276,237.38065371295372
5136188.0,2017-04,131,763,239.99243672438672
6037646.0,2017-04,32,182,207.04348513708513
6042263.0,2017-04,17,97,325.7027037074037
6135559.0,2017-04,14,81,151.52105145439361
12083437.0,2017-04,57,323,403.92712748917734
12179328.0,2017-04,26,146,201.459874025974
46012705.0,2017-04,43,245,183.2440385392385
46026759.0,2017-04,43,244,171.9846580808081
48102041.0,2017-04,29,168,158.03795694860696
48114723.0,2017-04,29,163,284.4542232656232
100055651.0,2017-04,37,213,240.01472503607502
100069878.0,2017-04,40,226,136.72004012654006
200012901.0,2017-04,21,121,201.73028054168054
200088477.0,2017-04,56,318,256.95401124708627
202043910.0,2017-04,42,236,250.50661974691974
202053088.0,2017-04,39,219,274.598825036075
202080295.0,2017-04,51,288,169.57448470418473
202134786.0,2017-04,72,389,413.0818603119104
202200286.0,2017-04,24,138,311.2730367243867
207025313.0,2017-04,93,524,403.10332979798
207196937.0,2017-04,72,424,211.2522578088578
5870038854.0,2017-04,49,280,169.44430161505164
5870040840.0,2017-04,76,429,298.3594736208237
10003978112.0,2017-04,40,235,251.59940492840494
10008979316.0,2017-04,52,294,190.27715228660233
10008994924.0,2017-04,58,345,275.42709968675115
10014051319.0,2017-04,19,110,302.7236324064824
10034926292.0,2017-04,142,805,102.69140702630696
100020230506.0,2017-04,34,192,340.8870803030303
100020376905.0,2017-04,57,322,239.4993443001443
100020453830.0,2017-04,26,150,146.92622965367968
100020699471.0,2017-04,60,343,164.70307958152952
100020937180.0,2017-04,26,145,246.03796887556888
100021024330.0,2017-04,40,229,247.13792813852814
100021073695.0,2017-04,73,416,155.31035163725167
100021200534.0,2017-04,57,322,154.48896621711623
100021268719.0,2017-04,64,365,210.6136999278499
100021381368.0,2017-04,53,304,216.13402985347983
100021420487.0,2017-04,57,322,309.82329870684873
100021442080.0,2017-04,43,243,160.28676274281267
100021456244.0,2017-04,65,368,400.6444192918193
100021471407.0,2017-04,60,339,238.33909872904874
100021565577.0,2017-04,95,559,129.79059494394494
100021894924.0,2017-04,31,173,273.8942770562771
100021945448.0,2017-04,43,233,307.41906514596513
100022202988.0,2017-04,43,243,279.8808541125541
100022228298.0,2017-04,40,227,372.28836684426676
100022274772.0,2017-04,54,292,119.11677631257615
100022565009.0,2017-04,64,364,129.6197530414031
100022573923.0,2017-04,68,383,277.6926796925297
100022613608.0,2017-04,36,216,357.03828809523816
100022794734.0,2017-04,47,266,192.19980144300138
100023154785.0,2017-04,50,282,162.0379115551116
100023265225.0,2017-04,38,217,266.0166243978244
200003485715.0,2017-04,26,148,227.79191194638693
5011462.0,2017-05,49,275,125.41067161727167
5040287.0,2017-05,64,360,225.38417486402486
5112874.0,2017-05,40,228,149.1046870185371
6012899.0,2017-05,40,236,172.2054892385392
12129859.0,2017-05,32,180,247.56476164946164
34045565.0,2017-05,41,233,306.577498989899
46057424.0,2017-05,89,527,234.50754163059162
48013587.0,2017-05,45,252,151.3181032467533
100022326.0,2017-05,48,270,240.05421125541125
100057171.0,2017-05,59,336,214.31229120879124
100065707.0,2017-05,51,305,414.9172217726717
121045091.0,2017-05,42,237,279.54615092685094
200010444.0,2017-05,37,207,613.6075212537467
202083505.0,2017-05,62,366,177.9819856254856
202083564.0,2017-05,62,367,235.15749606504608
202140494.0,2017-05,62,355,252.00943656898656
202148001.0,2017-05,22,125,123.4489776168277
207090384.0,2017-05,31,179,170.88677330447337
217034799.0,2017-05,43,245,252.6283636030636
5300009926.0,2017-05,56,316,181.13297229437228
5300020122.0,2017-05,136,805,224.90918787878786
5300047575.0,2017-05,45,256,696.4009234043735
5300093894.0,2017-05,58,330,217.30479864024863
5300101681.0,2017-05,23,133,226.74429776334776
5870068461.0,2017-05,28,161,218.0390513875014
10008995750.0,2017-05,52,292,255.29268210678208
10013186159.0,2017-05,49,290,194.3278062049062
10094748922.0,2017-05,87,514,340.5579106837607
100020001261.0,2017-05,28,156,224.25882933177934
100020193924.0,2017-05,32,187,157.10979108114114
100020193930.0,2017-05,30,175,239.33327611832613
100020224279.0,2017-05,30,171,261.1238806193806
100020229803.0,2017-05,40,227,266.15576117771116
100020234002.0,2017-05,39,221,161.78332525252526
100020237137.0,2017-05,22,127,204.8339490953491
100020403822.0,2017-05,43,244,231.76501176046176
100020412195.0,2017-05,47,267,266.1874338050838
100020432053.0,2017-05,27,155,220.29364622044622
100020444711.0,2017-05,23,132,326.5977393328893
100020646413.0,2017-05,42,238,157.6590502386503
100020679793.0,2017-05,34,196,275.93460848318347
100020681085.0,2017-05,72,407,228.31336583971583
100021014669.0,2017-05,59,348,234.54433124098125
100021079497.0,2017-05,63,371,212.5326999666999
100021202774.0,2017-05,78,458,251.0667168831169
100021216832.0,2017-05,44,249,206.89219480519478
100021256439.0,2017-05,51,287,172.02922109557107
100021315879.0,2017-05,60,342,188.126857997558
100021325669.0,2017-05,34,193,471.0531560051061
100021372593.0,2017-05,47,267,196.67374397824403
100021423646.0,2017-05,62,354,267.86278699078696
100021472014.0,2017-05,34,195,86.57074724719709
100021487696.0,2017-05,76,433,196.27218802308803
100021517980.0,2017-05,59,333,223.69511847874344
100021757222.0,2017-05,38,215,211.35973375513373
100021770798.0,2017-05,77,467,227.5801178210678
100021863178.0,2017-05,41,235,370.166800974026
100022280224.0,2017-05,29,163,245.1244406981907
100022320986.0,2017-05,34,196,180.83142878787876
